frame,id,x,y,z
907,0,0.427709,1.178933,-0.518404
908,0,0.427892,1.178733,-0.518575
909,0,0.427461,1.178856,-0.518293
910,0,0.427503,1.178556,-0.518070
911,0,0.427355,1.178488,-0.518093
912,0,0.427625,1.178455,-0.518385
913,0,0.428441,1.178404,-0.518636
914,0,0.428520,1.178332,-0.518828
915,0,0.428675,1.178183,-0.518827
916,0,0.428608,1.178116,-0.518976
917,0,0.429242,1.178010,-0.519371
918,0,0.428807,1.177975,-0.519032
919,0,0.429517,1.178205,-0.520070
920,0,0.429143,1.178275,-0.519554
921,0,0.428461,1.178388,-0.519150
922,0,0.428832,1.178362,-0.519320
923,0,0.428154,1.178234,-0.518798
924,0,0.428550,1.178210,-0.519031
925,0,0.428422,1.178548,-0.519087
926,0,0.428356,1.178572,-0.519089
927,0,0.428919,1.178521,-0.519360
928,0,0.428343,1.178707,-0.518824
929,0,0.428673,1.178456,-0.519089
930,0,0.427937,1.178395,-0.519217
931,0,0.428981,1.178660,-0.519429
932,0,0.429470,1.178465,-0.519642
933,0,0.429127,1.178181,-0.519306
934,0,0.428726,1.178316,-0.519017
935,0,0.429267,1.178515,-0.519823
936,0,0.429230,1.178674,-0.519877
937,0,0.428986,1.178435,-0.519501
938,0,0.428949,1.178557,-0.519516
939,0,0.428465,1.178554,-0.519249
940,0,0.428497,1.178521,-0.519193
941,0,0.429181,1.178411,-0.519920
942,0,0.428692,1.178746,-0.519174
943,0,0.429099,1.178472,-0.519256
944,0,0.429047,1.178241,-0.519892
945,0,0.429010,1.178506,-0.519481
946,0,0.429230,1.178465,-0.519730
947,0,0.429212,1.178497,-0.519518
948,0,0.429635,1.178467,-0.519740
949,0,0.428663,1.178786,-0.518854
950,0,0.429015,1.178697,-0.519038
951,0,0.429188,1.178816,-0.519316
952,0,0.429021,1.178614,-0.519016
953,0,0.429597,1.178567,-0.519446
954,0,0.429529,1.178408,-0.519618
955,0,0.429538,1.178477,-0.519603
956,0,0.428799,1.178554,-0.518907
957,0,0.429617,1.178732,-0.519982
958,0,0.429463,1.178629,-0.519468
959,0,0.429799,1.178355,-0.519861
960,0,0.429115,1.178922,-0.519518
961,0,0.429104,1.178399,-0.519439
962,0,0.429663,1.178358,-0.520050
963,0,0.429519,1.178283,-0.519739
964,0,0.429876,1.178338,-0.520090
965,0,0.429727,1.178455,-0.519728
966,0,0.429534,1.178565,-0.519631
967,0,0.429222,1.178475,-0.519262
968,0,0.429553,1.178419,-0.519575
969,0,0.430117,1.178390,-0.520102
970,0,0.430112,1.178418,-0.520069
971,0,0.429656,1.178393,-0.519397
972,0,0.429430,1.178497,-0.519301
973,0,0.429480,1.178457,-0.519375
974,0,0.429361,1.178603,-0.519242
975,0,0.429578,1.178237,-0.519619
976,0,0.430142,1.178530,-0.519774
977,0,0.429697,1.178435,-0.519371
978,0,0.429493,1.178256,-0.519289
979,0,0.429718,1.178001,-0.519762
980,0,0.429224,1.178373,-0.519257
981,0,0.429623,1.178614,-0.519900
982,0,0.429642,1.178466,-0.519847
983,0,0.429150,1.178513,-0.519130
984,0,0.429167,1.178679,-0.519440
985,0,0.429286,1.178568,-0.519553
986,0,0.429546,1.178638,-0.519879
987,0,0.429684,1.178179,-0.519742
988,0,0.429398,1.178332,-0.519300
989,0,0.429292,1.178698,-0.519354
990,0,0.429057,1.178447,-0.519779
991,0,0.428965,1.178455,-0.519112
992,0,0.429246,1.178386,-0.519888
993,0,0.429419,1.178470,-0.519463
994,0,0.428994,1.178326,-0.519146
995,0,0.429305,1.178105,-0.519837
996,0,0.430416,1.178181,-0.520503
997,0,0.429303,1.178739,-0.519860
998,0,0.428634,1.178640,-0.519873
999,0,0.429480,1.178406,-0.519858
1000,0,0.429900,1.178639,-0.520009
1001,0,0.429260,1.178524,-0.519448
1002,0,0.429594,1.178489,-0.519497
1003,0,0.429042,1.178475,-0.518952
1004,0,0.429687,1.178575,-0.519587
1005,0,0.429010,1.178919,-0.519164
1006,0,0.428813,1.178916,-0.518947
1007,0,0.429354,1.178739,-0.519287
1008,0,0.430298,1.178409,-0.520324
1009,0,0.429985,1.178359,-0.519854
1010,0,0.429794,1.178440,-0.519375
1011,0,0.429772,1.178570,-0.519276
1012,0,0.428929,1.178400,-0.519053
1013,0,0.427979,1.178336,-0.518445
1014,0,0.429241,1.178426,-0.519076
1015,0,0.429664,1.178874,-0.519093
1016,0,0.428903,1.178411,-0.518795
1017,0,0.429197,1.178457,-0.519168
1018,0,0.429391,1.178600,-0.519298
1019,0,0.429499,1.178625,-0.519179
1020,0,0.429064,1.178737,-0.518632
1021,0,0.428866,1.178744,-0.518459
1022,0,0.430104,1.178524,-0.520007
1023,0,0.430122,1.178558,-0.519766
1024,0,0.428546,1.179111,-0.518475
1025,0,0.429346,1.178282,-0.519269
1026,0,0.428854,1.178374,-0.519011
1027,0,0.429560,1.178518,-0.519064
1028,0,0.428832,1.178302,-0.519119
1029,0,0.428801,1.178378,-0.519303
1030,0,0.429112,1.178655,-0.519502
1031,0,0.429597,1.178253,-0.519627
1032,0,0.429052,1.178262,-0.519326
1033,0,0.429089,1.178270,-0.519319
1034,0,0.429228,1.178274,-0.519502
1035,0,0.429227,1.178354,-0.519346
1036,0,0.429182,1.178181,-0.519666
1037,0,0.429541,1.178092,-0.519856
1038,0,0.429418,1.178722,-0.519537
1039,0,0.429464,1.178247,-0.519818
1040,0,0.429460,1.178237,-0.519837
