frame,id,x,y,z,qx,qy,qz,qw
1497,0,0.015103,1.169585,-0.818590,0.9986892,-0.0003732,0.0496428,0.0124684
1498,0,0.015178,1.169667,-0.819116,0.9981970,-0.0032382,0.0494106,0.0339238
1499,0,0.015182,1.169819,-0.817830,0.9976590,-0.0044248,0.0454927,0.0508666
1500,0,0.015301,1.169847,-0.818363,0.9978009,-0.0043802,0.0470139,0.0465173
1501,0,0.015271,1.169903,-0.818187,0.9968358,-0.0050466,0.0525574,0.0594205
1502,0,0.015218,1.169919,-0.818844,0.9960515,-0.0048176,0.0661975,0.0589578
1503,0,0.014891,1.170154,-0.818245,0.9931520,-0.0028014,0.1014421,0.0578872
1504,0,0.015317,1.170007,-0.818301,0.9975110,-0.0040580,0.0497417,0.0498111
1505,0,0.015134,1.169931,-0.818745,0.9967003,-0.0034148,0.0637304,0.0501525
1506,0,0.015170,1.169937,-0.818750,0.9968278,-0.0035958,0.0604524,0.0516421
1507,0,0.015225,1.169889,-0.819143,0.9969397,-0.0031792,0.0618253,0.0477365
1508,0,0.014795,1.169801,-0.818933,0.9947578,0.0003587,0.0996825,0.0228056
1509,0,0.015119,1.170134,-0.817853,0.9957982,-0.0035949,0.0740131,0.0538071
1510,0,0.014744,1.169750,-0.818657,0.9930522,-0.0000659,0.1154235,0.0229065
1511,0,0.015317,1.170035,-0.817582,0.9986119,-0.0023575,0.0365268,0.0378764
1512,0,0.015342,1.169920,-0.817983,0.9982355,-0.0014705,0.0551907,0.0218543
1513,0,0.015249,1.170044,-0.816605,0.9989970,-0.0033572,0.0221017,0.0387977
1514,0,0.015178,1.170139,-0.817869,0.9957260,-0.0037128,0.0731546,0.0562524
1515,0,0.015289,1.169874,-0.818569,0.9970094,-0.0018777,0.0655521,0.0408855
1516,0,0.015358,1.170019,-0.817752,0.9981523,-0.0027234,0.0367799,0.0482885
1517,0,0.015287,1.170040,-0.818568,0.9969635,-0.0031894,0.0607840,0.0485696
1518,0,0.015366,1.169932,-0.817553,0.9986582,-0.0034935,0.0419171,0.0302091
1519,0,0.015117,1.169672,-0.817990,0.9974001,0.0005450,0.0720601,-0.0002814
1520,0,0.015052,1.170045,-0.817421,0.9970041,-0.0045262,0.0553566,0.0538336
1521,0,0.015060,1.170049,-0.818289,0.9953424,-0.0037845,0.0796714,0.0541448
1522,0,0.015074,1.169931,-0.816403,0.9988843,-0.0025660,0.0354689,0.0310740
1523,0,0.015179,1.170018,-0.818578,0.9955460,-0.0046014,0.0732531,0.0591686
1524,0,0.015217,1.169968,-0.819340,0.9951547,-0.0039195,0.0831780,0.0522790
1525,0,0.015206,1.169808,-0.818532,0.9974065,-0.0029715,0.0632937,0.0341388
1526,0,0.015004,1.170059,-0.816392,0.9989486,-0.0033703,0.0306330,0.0339395
1527,0,0.015416,1.169928,-0.818674,0.9982640,-0.0029240,0.0478797,0.0341761
1528,0,0.015288,1.170049,-0.819139,0.9972385,-0.0049432,0.0510655,0.0536970
1529,0,0.015191,1.170153,-0.818554,0.9969984,-0.0042354,0.0525687,0.0566817
1530,0,0.015543,1.170227,-0.819401,0.9952448,-0.0058672,0.0624931,0.0744850
1531,0,0.015478,1.169947,-0.820106,0.9951035,-0.0043090,0.0714129,0.0681964
1532,0,0.015387,1.170005,-0.819033,0.9932867,-0.0055067,0.0743385,0.0884594
1533,0,0.015535,1.169107,-0.819109,0.9953291,0.0030697,0.0958774,-0.0108638
1534,0,0.015561,1.168909,-0.819229,0.9962662,0.0021218,0.0860374,-0.0068282
1535,0,0.015345,1.168768,-0.819099,0.9968977,0.0009873,0.0785252,-0.0052679
1536,0,0.015611,1.168731,-0.820039,0.9980747,-0.0017225,0.0577923,0.0224517
1537,0,0.015212,1.168714,-0.818787,0.9979856,-0.0006312,0.0632742,0.0045548
1538,0,0.015472,1.168892,-0.819790,0.9988201,-0.0047837,0.0363462,0.0318522
1539,0,0.015294,1.168944,-0.818673,0.9993644,-0.0056915,0.0205706,0.0285525
1540,0,0.015264,1.168921,-0.819342,0.9993128,-0.0057647,0.0197691,0.0308189
1541,0,0.015098,1.168928,-0.819789,0.9991496,-0.0069753,0.0085793,0.0397208
1542,0,0.014892,1.169114,-0.818742,0.9992275,-0.0080946,-0.0096861,0.0372168
1543,0,0.014770,1.169447,-0.819237,0.9986691,-0.0098299,-0.0114099,0.0493266
1544,0,0.014963,1.169685,-0.819004,0.9982407,-0.0103298,-0.0228986,0.0537075
1545,0,0.013992,1.170277,-0.819951,0.9886294,-0.0018814,0.1252194,0.0832370
1546,0,0.014998,1.169677,-0.822939,0.9990668,-0.0078929,-0.0055804,0.0420962
1547,0,0.014367,1.169998,-0.824035,0.9926921,-0.0021974,0.0939326,0.0757248
1548,0,0.014720,1.170144,-0.824363,0.9941521,-0.0038758,0.0733239,0.0791844
1549,0,0.015158,1.169801,-0.824664,0.9997539,-0.0049892,0.0159292,0.0146094
1550,0,0.015202,1.169721,-0.822652,0.9995547,-0.0036697,0.0256409,-0.0148150
1551,0,0.015103,1.169572,-0.821955,0.9992527,-0.0021209,0.0247982,-0.0295726
1552,0,0.015302,1.170937,-0.820433,0.9899505,-0.0066747,0.0282465,0.1384038
1553,0,0.015327,1.170615,-0.821072,0.9901384,-0.0064348,0.0248996,0.1377124
1554,0,0.015457,1.170509,-0.820075,0.9898646,-0.0053505,0.0278470,0.1391546
1555,0,0.015398,1.170038,-0.820653,0.9901665,-0.0061267,0.0294512,0.1366210
1556,0,0.015178,1.169612,-0.820221,0.9911547,-0.0042914,0.0300145,0.1292022
1557,0,0.014959,1.169208,-0.822471,0.9927818,-0.0040086,0.0349382,0.1146633
1558,0,0.014743,1.169109,-0.823951,0.9954156,-0.0028701,0.0355640,0.0887405
1559,0,0.014636,1.168936,-0.827431,0.9982065,-0.0013356,0.0340047,0.0492515
1560,0,0.013623,1.168700,-0.827598,0.9943196,0.0017528,0.1058864,-0.0106575
1561,0,0.012544,1.169039,-0.824383,0.9887414,0.0027419,0.1484243,-0.0187933
1562,0,0.011908,1.169324,-0.822638,0.9847800,0.0030823,0.1726276,-0.0199628
1563,0,0.013173,1.169571,-0.821681,0.9971665,0.0030005,-0.0737130,0.0147090
1564,0,0.012661,1.169778,-0.819016,0.9973176,0.0030016,-0.0705898,0.0191236
1565,0,0.012796,1.170194,-0.818833,0.9980291,0.0023607,-0.0572896,0.0255001
1566,0,0.013604,1.170594,-0.819801,0.9990910,0.0012524,-0.0314610,0.0287365
1567,0,0.014396,1.171318,-0.820264,0.9993013,-0.0006230,-0.0048626,0.0370532
1568,0,0.015273,1.171693,-0.822040,0.9974755,-0.0044183,0.0360509,0.0610205
1569,0,0.015567,1.171702,-0.821309,0.9949605,-0.0075416,0.0563478,0.0825936
1570,0,0.015650,1.171505,-0.819748,0.9916024,-0.0098461,0.0792403,0.1017289
1571,0,0.015980,1.170972,-0.821155,0.9908398,-0.0097103,0.0935720,0.0968834
1572,0,0.016212,1.169945,-0.823588,0.9908376,-0.0073684,0.1083000,0.0803601
1573,0,0.016087,1.168997,-0.822501,0.9987811,-0.0009468,0.0492911,0.0023930
1574,0,0.015404,1.168942,-0.820847,0.9996893,-0.0024720,0.0229862,0.0093183
1575,0,0.014917,1.169159,-0.819481,0.9998162,-0.0053597,0.0079461,0.0166044
1576,0,0.014467,1.169291,-0.818412,0.9998967,-0.0053839,-0.0019711,0.0131789
1577,0,0.014134,1.169481,-0.818149,0.9996377,-0.0065548,-0.0166343,0.0201212
1578,0,0.013917,1.169888,-0.817318,0.9994686,-0.0067924,-0.0256462,0.0189417
1579,0,0.014236,1.169922,-0.818846,0.9992067,-0.0069481,-0.0325438,0.0218763
1580,0,0.014404,1.169843,-0.820084,0.9992218,-0.0070940,-0.0322775,0.0215315
1581,0,0.015002,1.169919,-0.823355,0.9994481,-0.0071414,-0.0270817,0.0178651
1582,0,0.015153,1.170049,-0.824886,0.9994087,-0.0066683,-0.0286957,0.0177327
1583,0,0.014653,1.170248,-0.827577,0.9906902,-0.0033627,0.1172645,0.0690708
1584,0,0.015010,1.170191,-0.827585,0.9919243,-0.0037162,0.1014875,0.0759784
1585,0,0.015364,1.170175,-0.827230,0.9936301,-0.0052961,0.0785312,0.0806480
1586,0,0.015607,1.170044,-0.826919,0.9946258,-0.0057197,0.0616202,0.0830045
1587,0,0.015655,1.170070,-0.824208,0.9942139,-0.0049155,0.0578587,0.0903712
1588,0,0.015833,1.170030,-0.822418,0.9942941,-0.0050411,0.0398142,0.0988366
1589,0,0.015657,1.170038,-0.820780,0.9923669,-0.0050177,0.0386361,0.1170048
1590,0,0.015546,1.169318,-0.824168,0.9934462,-0.0040617,0.0339393,0.1090702
1591,0,0.015274,1.168941,-0.827585,0.9948404,-0.0032987,0.0380232,0.0940003
1592,0,0.015063,1.168585,-0.828809,0.9951005,-0.0024384,0.0362648,0.0919456
1593,0,0.014822,1.168396,-0.830540,0.9958069,-0.0026184,0.0364934,0.0838452
1594,0,0.014522,1.168371,-0.831672,0.9989844,0.0003217,0.0289714,0.0345077
1595,0,0.014332,1.168459,-0.831344,0.9998868,0.0015500,0.0055175,0.0139150
1596,0,0.011537,1.169196,-0.822953,0.9838352,0.0028778,0.1759352,-0.0332705
1597,0,0.012773,1.170327,-0.821718,0.9976193,0.0040994,-0.0670729,0.0154964
1598,0,0.012924,1.170966,-0.823236,0.9979026,0.0030235,-0.0600590,0.0239631
1599,0,0.013596,1.171246,-0.823134,0.9985172,0.0018569,-0.0450774,0.0304649
1600,0,0.014894,1.171625,-0.825210,0.9988559,-0.0008339,-0.0138688,0.0457596
1601,0,0.015743,1.171363,-0.824883,0.9970022,-0.0046169,0.0306977,0.0708728
1602,0,0.015795,1.170974,-0.822924,0.9954571,-0.0063027,0.0526735,0.0790639
1603,0,0.015893,1.170313,-0.821998,0.9930428,-0.0076321,0.0771489,0.0886326
1604,0,0.015679,1.169377,-0.821847,0.9920326,-0.0070718,0.0994175,0.0770555
1605,0,0.015519,1.168602,-0.822233,0.9982889,-0.0014444,0.0571946,0.0120819
1606,0,0.014945,1.168573,-0.820460,0.9992553,-0.0021228,0.0380395,0.0061148
1607,0,0.014341,1.168795,-0.819238,0.9998288,-0.0034588,0.0136937,0.0119528
1608,0,0.013898,1.168993,-0.819305,0.9998311,-0.0055076,0.0022724,0.0173888
1609,0,0.013600,1.169194,-0.818602,0.9997792,-0.0065681,-0.0078368,0.0183574
1610,0,0.013113,1.169590,-0.817476,0.9994711,-0.0072395,-0.0268968,0.0167837
1611,0,0.013048,1.169590,-0.817727,0.9992612,-0.0076928,-0.0311018,0.0212267
1612,0,0.012968,1.170284,-0.817034,0.9983569,-0.0097822,-0.0463742,0.0322054
1613,0,0.011740,1.170591,-0.819650,0.9829816,-0.0014067,0.1668580,0.0768354
1614,0,0.012288,1.170958,-0.821756,0.9854390,-0.0013115,0.1524376,0.0753066
1615,0,0.012614,1.170848,-0.822217,0.9873694,-0.0019512,0.1404242,0.0733408
1616,0,0.013222,1.170777,-0.824465,0.9898126,-0.0027206,0.1214430,0.0742646
1617,0,0.014115,1.170657,-0.827482,0.9931544,-0.0044044,0.0859280,0.0790020
1618,0,0.014334,1.170738,-0.826562,0.9941701,-0.0036314,0.0802982,0.0718662
1619,0,0.015173,1.170845,-0.826919,0.9944906,-0.0047917,0.0552421,0.0889591
1620,0,0.015592,1.170028,-0.823830,0.9987978,-0.0026141,0.0134753,-0.0470589
1621,0,0.015658,1.170049,-0.821927,0.9979230,-0.0004397,0.0244689,-0.0595893
1622,0,0.015822,1.169592,-0.822600,0.9978305,-0.0006207,0.0158252,-0.0639027
1623,0,0.015843,1.170613,-0.824201,0.9936557,-0.0040001,0.0183101,0.1108918
1624,0,0.015782,1.169795,-0.826803,0.9933890,-0.0034530,0.0245272,0.1120933
1625,0,0.015499,1.169316,-0.826139,0.9927440,-0.0034756,0.0272535,0.1170667
1626,0,0.015297,1.168895,-0.826116,0.9922891,-0.0035714,0.0292525,0.1203903
1627,0,0.014926,1.168494,-0.828493,0.9945638,-0.0026633,0.0309405,0.0993912
1628,0,0.014399,1.168421,-0.830262,0.9968070,-0.0009130,0.0376896,0.0703868
1629,0,0.014281,1.168371,-0.835226,0.9995165,0.0007174,0.0240431,0.0196989
1630,0,0.013632,1.167654,-0.836816,0.9893615,0.0028977,0.1046048,0.1010614
1638,0,0.013899,1.171698,-0.822284,0.9992994,0.0001295,0.0234132,0.0291976
1639,0,0.012627,1.172342,-0.819614,0.9958410,0.0056761,-0.0544038,0.0728618
1643,0,0.016071,1.170363,-0.824769,0.9901233,-0.0085517,0.1058278,0.0915603
1644,0,0.015789,1.169304,-0.825746,0.9875802,-0.0064237,0.1303388,0.0874975
1645,0,0.015626,1.168203,-0.824579,0.9982434,0.0011862,0.0591444,-0.0032771
1646,0,0.014870,1.168344,-0.821700,0.9993699,-0.0014992,0.0344917,0.0082374
1647,0,0.014408,1.168216,-0.821617,0.9997182,-0.0035790,0.0200135,0.0122552
1648,0,0.013875,1.168453,-0.820179,0.9998454,-0.0045468,0.0099410,0.0137706
1649,0,0.013329,1.168767,-0.818683,0.9997951,-0.0055926,-0.0053676,0.0186986
1650,0,0.013223,1.168952,-0.819387,0.9995781,-0.0071445,-0.0107981,0.0260009
1651,0,0.013021,1.169420,-0.817886,0.9992997,-0.0082850,-0.0227563,0.0285246
1652,0,0.013168,1.169572,-0.819206,0.9992629,-0.0089996,-0.0246781,0.0279930
1653,0,0.013380,1.169867,-0.821285,0.9989160,-0.0095211,-0.0293867,0.0348230
1654,0,0.012243,1.170421,-0.823001,0.9835330,-0.0019723,0.1625748,0.0789208
1655,0,0.014009,1.170145,-0.823785,0.9989684,-0.0085509,-0.0336522,0.0292689
1656,0,0.013435,1.170722,-0.825350,0.9883272,-0.0026996,0.1326642,0.0748481
1657,0,0.014318,1.170725,-0.827580,0.9917746,-0.0037155,0.1005184,0.0791539
1658,0,0.015073,1.170855,-0.827012,0.9929879,-0.0057627,0.0684303,0.0962243
1659,0,0.015463,1.170111,-0.825126,0.9987808,-0.0011302,0.0369678,-0.0326947
1660,0,0.015726,1.170115,-0.823773,0.9985009,-0.0009586,0.0354941,-0.0416554
1661,0,0.015754,1.169978,-0.822097,0.9982440,0.0000412,0.0294523,-0.0513942
1662,0,0.015862,1.170696,-0.822609,0.9925143,-0.0059784,0.0412712,0.1147881
1663,0,0.015964,1.170459,-0.822016,0.9914370,-0.0062208,0.0400158,0.1241478
1664,0,0.015844,1.170054,-0.822662,0.9924101,-0.0048842,0.0374433,0.1170313
1665,0,0.015926,1.169751,-0.822836,0.9928218,-0.0042636,0.0423071,0.1117894
1666,0,0.015914,1.169308,-0.825080,0.9953744,-0.0036035,0.0341699,0.0897174
1667,0,0.015554,1.169101,-0.826852,0.9969608,-0.0020288,0.0382130,0.0678594
1668,0,0.015707,1.168880,-0.828297,0.9991978,0.0002941,0.0308585,0.0255255
1669,0,0.014457,1.168683,-0.826602,0.9940946,0.0021094,0.1058815,-0.0236756
1670,0,0.015135,1.169249,-0.824471,0.9997059,0.0010513,-0.0205278,0.0128734
1671,0,0.013910,1.169024,-0.822993,0.9897082,0.0024928,0.1416885,-0.0198950
1672,0,0.014889,1.169560,-0.820443,0.9995493,0.0012625,-0.0236869,0.0184027
1673,0,0.014975,1.169575,-0.820041,0.9996924,0.0003636,-0.0117835,0.0218193
1674,0,0.015188,1.169579,-0.821414,0.9997746,0.0002478,0.0096398,0.0189135
1675,0,0.015562,1.169759,-0.820911,0.9987453,-0.0014478,0.0355922,0.0351979
1676,0,0.015584,1.169547,-0.820808,0.9969107,-0.0027588,0.0628767,0.0469891
1677,0,0.015758,1.169605,-0.820385,0.9975417,-0.0022828,0.0532498,0.0454948
1678,0,0.015421,1.169595,-0.819180,0.9986928,-0.0003466,0.0445382,0.0250792
1679,0,0.015991,1.169601,-0.821662,0.9975922,-0.0021570,0.0622959,0.0304032
1680,0,0.015873,1.169849,-0.820143,0.9983401,-0.0013299,0.0498203,0.0288653
1681,0,0.016369,1.169969,-0.820529,0.9973218,-0.0014772,0.0654147,0.0326805
1682,0,0.016345,1.169829,-0.820234,0.9970943,-0.0011868,0.0701006,0.0297920
1683,0,0.015950,1.170092,-0.818638,0.9981434,-0.0015227,0.0522022,0.0313429
1684,0,0.016655,1.170232,-0.820602,0.9975199,-0.0025891,0.0619130,0.0333803
1685,0,0.016731,1.170359,-0.820658,0.9975192,-0.0007033,0.0647002,0.0277281
1686,0,0.016880,1.170499,-0.821318,0.9970092,-0.0026730,0.0685145,0.0356567
1687,0,0.017589,1.170373,-0.821689,0.9970970,-0.0009841,0.0688403,0.0325216
1688,0,0.016840,1.170240,-0.819901,0.9975249,-0.0010312,0.0629178,0.0313757
1689,0,0.016704,1.170206,-0.819193,0.9972506,-0.0026415,0.0644468,0.0364817
1690,0,0.017651,1.170378,-0.821195,0.9974791,-0.0021262,0.0635684,0.0314652
1691,0,0.017654,1.170320,-0.821114,0.9973131,-0.0025166,0.0644532,0.0347267
1692,0,0.017097,1.170284,-0.820575,0.9975086,-0.0019929,0.0614340,0.0346192
1693,0,0.017184,1.170216,-0.820406,0.9975469,-0.0013475,0.0618083,0.0328360
1694,0,0.017770,1.170310,-0.821329,0.9970358,-0.0019234,0.0668960,0.0379574
1695,0,0.016808,1.170217,-0.819641,0.9975762,-0.0029373,0.0607307,0.0338362
1696,0,0.018265,1.170233,-0.822045,0.9971449,-0.0006951,0.0664335,0.0358928
1697,0,0.017303,1.170219,-0.820844,0.9973421,-0.0031455,0.0626643,0.0370403
1698,0,0.018108,1.170223,-0.820722,0.9974413,-0.0019811,0.0642265,0.0313363
1699,0,0.019964,1.170317,-0.823853,0.9970729,-0.0012191,0.0699594,0.0308183
1700,0,0.019566,1.170110,-0.822918,0.9971744,-0.0029262,0.0668974,0.0340487
1701,0,0.021732,1.170312,-0.825899,0.9973378,-0.0022642,0.0662865,0.0303055
1702,0,0.021500,1.170357,-0.824995,0.9982488,-0.0008690,0.0534381,0.0253570
1703,0,0.020313,1.170491,-0.822520,0.9985303,0.0000297,0.0494582,0.0221634
1704,0,0.020279,1.170748,-0.820985,0.9990164,0.0009629,0.0406521,0.0176830
1705,0,0.022142,1.171333,-0.824614,0.9986182,0.0009372,0.0493687,0.0179895
1706,0,0.022897,1.171852,-0.827053,0.9980597,-0.0005676,0.0580346,0.0225506
1707,0,0.023893,1.171863,-0.831863,0.9959973,-0.0029648,0.0833730,0.0320896
1708,0,0.023820,1.171566,-0.832659,0.9952577,-0.0040436,0.0896237,0.0375950
