frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
934,0,313.916,148.267,314.272,147.845,0.356,-0.422,0.552,0.3140,0.00061
935,0,313.917,148.234,314.206,147.808,0.288,-0.426,0.514,0.3115,0.00060
936,0,313.593,147.868,313.829,147.685,0.236,-0.183,0.298,0.3539,0.00068
937,0,313.488,147.577,313.415,147.514,-0.073,-0.063,0.097,0.4035,0.00077
938,0,313.561,147.440,313.436,147.321,-0.125,-0.119,0.173,0.4187,0.00081
939,0,313.933,146.635,313.820,146.958,-0.113,0.323,0.342,0.4168,0.00080
940,0,314.123,146.192,314.096,146.343,-0.026,0.151,0.153,0.4423,0.00084
941,0,313.930,145.353,314.098,145.682,0.169,0.329,0.369,0.5020,0.00096
942,0,313.975,145.043,314.149,145.480,0.174,0.437,0.471,0.5189,0.00100
943,0,314.120,144.887,314.089,145.495,-0.030,0.608,0.609,0.5143,0.00098
944,0,313.912,145.180,313.927,145.538,0.015,0.358,0.358,0.5143,0.00097
945,0,313.554,145.420,313.424,145.696,-0.130,0.276,0.305,0.5219,0.00096
946,0,313.573,145.226,313.509,145.464,-0.064,0.237,0.246,0.5381,0.00098
947,0,315.045,142.717,314.070,145.432,-0.975,2.715,2.885,0.5159,0.00096
948,0,314.282,144.307,314.064,144.926,-0.217,0.619,0.656,0.5637,0.00107
949,0,313.651,143.546,313.800,144.583,0.149,1.037,1.048,0.6052,0.00114
950,0,313.562,142.879,313.858,143.967,0.296,1.088,1.127,0.6609,0.00123
951,0,313.475,142.515,314.132,143.500,0.657,0.985,1.184,0.7000,0.00129
952,0,313.176,142.116,314.393,142.945,1.218,0.829,1.473,0.7538,0.00138
953,0,312.606,141.990,314.436,142.733,1.830,0.743,1.975,0.7793,0.00142
954,0,312.511,141.564,314.655,142.312,2.144,0.749,2.271,0.8108,0.00150
955,0,312.329,141.506,314.627,142.193,2.298,0.687,2.399,0.8176,0.00153
956,0,311.425,141.955,314.169,142.447,2.744,0.492,2.787,0.7962,0.00151
957,0,310.893,141.997,313.975,142.403,3.082,0.406,3.108,0.8079,0.00155
958,0,310.593,142.510,314.121,142.563,3.529,0.054,3.529,0.8060,0.00156
