frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
4507,0,232.892,222.571,232.490,222.474,-0.402,-0.097,0.414,3.8085,0.17237
4507,1,291.841,227.452,291.715,227.118,-0.126,-0.334,0.357,3.8085,0.17237
4508,0,232.155,221.515,231.646,221.281,-0.509,-0.234,0.560,3.8632,0.17222
4508,1,291.199,226.407,290.913,225.975,-0.286,-0.432,0.518,3.8632,0.17222
4509,0,231.669,221.308,231.291,221.185,-0.378,-0.123,0.397,3.9115,0.17222
4509,1,290.735,226.127,290.577,225.827,-0.158,-0.300,0.339,3.9115,0.17222
4510,0,230.689,221.493,230.492,221.344,-0.197,-0.148,0.246,4.0283,0.17208
4510,1,289.854,226.156,289.824,225.867,-0.030,-0.289,0.290,4.0283,0.17208
4511,0,230.446,221.550,230.021,221.602,-0.425,0.053,0.428,4.0920,0.17179
4511,1,289.621,226.377,289.388,226.076,-0.232,-0.301,0.380,4.0920,0.17179
4512,0,230.692,221.731,230.309,221.795,-0.384,0.064,0.389,4.0470,0.17110
4512,1,289.742,226.562,289.696,226.287,-0.046,-0.274,0.278,4.0470,0.17110
4513,0,231.279,221.828,230.724,221.882,-0.554,0.054,0.557,3.9886,0.17085
4513,1,290.468,226.617,290.105,226.420,-0.363,-0.197,0.413,3.9886,0.17085
4514,0,232.613,221.063,231.925,221.055,-0.688,-0.007,0.688,3.7972,0.17011
4514,1,291.727,225.988,291.291,225.778,-0.436,-0.210,0.484,3.7972,0.17011
4515,0,232.603,220.763,232.164,220.862,-0.439,0.099,0.450,3.7661,0.16995
4515,1,291.774,225.793,291.531,225.620,-0.243,-0.172,0.298,3.7661,0.16995
4516,0,232.645,221.414,232.142,221.282,-0.503,-0.132,0.520,3.7980,0.16961
4516,1,291.765,226.353,291.534,226.002,-0.231,-0.351,0.420,3.7980,0.16961
4517,0,231.810,222.503,231.517,222.422,-0.293,-0.082,0.304,3.9241,0.16895
4517,1,291.216,227.372,290.974,227.076,-0.241,-0.296,0.382,3.9241,0.16895
4518,0,231.674,222.575,231.304,222.507,-0.370,-0.068,0.376,3.9533,0.16866
4518,1,290.994,227.522,290.786,227.171,-0.208,-0.351,0.408,3.9533,0.16866
4519,0,231.206,222.375,230.757,222.185,-0.449,-0.190,0.488,4.0092,0.16806
4519,1,290.792,227.125,290.296,226.913,-0.497,-0.212,0.540,4.0092,0.16806
4520,0,231.339,221.645,230.921,221.693,-0.418,0.048,0.421,3.9758,0.16689
4520,1,290.795,226.663,290.518,226.576,-0.277,-0.086,0.290,3.9758,0.16689
4521,0,232.433,222.571,231.949,222.637,-0.484,0.066,0.488,3.8756,0.16455
4521,1,291.875,227.902,291.626,227.719,-0.248,-0.183,0.309,3.8756,0.16455
4522,0,233.896,221.923,233.648,222.003,-0.248,0.079,0.260,3.6537,0.16200
4522,1,293.735,227.464,293.388,227.324,-0.347,-0.140,0.374,3.6537,0.16200
4523,0,237.784,221.538,237.451,221.431,-0.334,-0.108,0.351,3.2080,0.15761
4523,1,297.690,227.399,297.274,227.122,-0.416,-0.276,0.499,3.2080,0.15761
4524,0,240.180,220.518,239.769,220.516,-0.411,-0.002,0.411,2.9401,0.15532
4524,1,299.779,226.558,299.649,226.267,-0.129,-0.291,0.319,2.9401,0.15532
4525,0,242.400,220.267,241.872,220.193,-0.528,-0.075,0.533,2.7099,0.15283
4525,1,302.030,226.421,301.831,225.978,-0.199,-0.443,0.486,2.7099,0.15283
4526,0,245.110,220.543,244.724,220.523,-0.386,-0.021,0.386,2.4251,0.15023
4526,1,305.134,226.741,304.726,226.519,-0.408,-0.222,0.465,2.4251,0.15023
4527,0,251.600,220.389,251.086,220.319,-0.514,-0.070,0.518,1.8325,0.14649
4527,1,311.684,226.899,311.095,226.688,-0.589,-0.211,0.625,1.8325,0.14649
4528,0,255.489,220.997,254.876,220.994,-0.613,-0.003,0.613,1.4941,0.14434
4528,1,315.452,227.641,314.913,227.400,-0.539,-0.241,0.590,1.4941,0.14434
4529,0,256.674,221.671,256.202,221.722,-0.473,0.051,0.475,1.3944,0.14342
4529,1,316.713,228.481,316.264,228.117,-0.449,-0.364,0.578,1.3944,0.14342
4530,0,258.495,223.837,257.889,223.902,-0.607,0.065,0.610,1.4133,0.14172
4530,1,318.522,230.707,318.002,230.375,-0.521,-0.332,0.617,1.4133,0.14172
4531,0,260.482,226.265,259.897,226.097,-0.585,-0.168,0.609,1.5910,0.14005
4531,1,320.603,233.334,320.031,232.800,-0.571,-0.534,0.782,1.5910,0.14005
4532,0,263.485,225.657,262.980,225.694,-0.505,0.037,0.506,1.6594,0.13747
4532,1,323.606,233.151,323.165,232.690,-0.442,-0.460,0.638,1.6594,0.13747
4533,0,263.826,222.746,263.577,222.737,-0.250,-0.009,0.250,1.4756,0.13423
