frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m,dx_m,dy_m,dz_m,green_px
760,0,39.123,92.355,38.721,91.925,-0.402,-0.430,0.588,0.2203,0.00243,0.00036,0.00049,0.00236,221.49
760,1,407.831,92.279,407.756,91.929,-0.075,-0.350,0.358,0.2203,0.00243,0.00036,0.00049,0.00236,151.44
761,0,40.038,93.405,39.544,92.925,-0.494,-0.480,0.689,0.2712,0.00326,0.00017,0.00072,0.00318,220.68
761,1,407.479,93.301,407.237,93.035,-0.241,-0.266,0.359,0.2712,0.00326,0.00017,0.00072,0.00318,150.65
762,0,41.200,93.909,40.483,93.648,-0.716,-0.260,0.762,0.3239,0.00415,0.00004,0.00093,0.00404,219.80
762,1,406.864,94.399,406.733,94.128,-0.131,-0.271,0.301,0.3239,0.00415,0.00004,0.00093,0.00404,149.92
763,0,43.341,94.505,42.192,93.948,-1.149,-0.557,1.277,0.3039,0.00501,-0.00010,0.00103,0.00491,218.63
763,1,407.361,94.718,406.912,94.523,-0.449,-0.195,0.489,0.3039,0.00501,-0.00010,0.00103,0.00491,149.19
764,0,45.908,94.875,44.629,94.377,-1.279,-0.499,1.373,0.2238,0.00595,-0.00045,0.00114,0.00582,217.57
764,1,408.280,94.679,407.737,94.560,-0.544,-0.119,0.557,0.2238,0.00595,-0.00045,0.00114,0.00582,148.65
765,0,48.470,95.591,47.034,94.895,-1.436,-0.696,1.596,0.1897,0.00674,-0.00077,0.00133,0.00657,216.52
765,1,409.239,95.277,408.742,95.128,-0.497,-0.150,0.519,0.1897,0.00674,-0.00077,0.00133,0.00657,148.09
766,0,55.163,95.870,53.331,95.152,-1.832,-0.719,1.968,0.2017,0.00884,-0.00161,0.00186,0.00849,214.05
766,1,411.964,96.207,411.498,96.102,-0.466,-0.104,0.478,0.2017,0.00884,-0.00161,0.00186,0.00849,146.85
767,0,60.600,95.564,58.635,94.710,-1.964,-0.854,2.142,0.2961,0.01098,-0.00242,0.00227,0.01046,211.74
767,1,413.946,96.123,413.500,96.108,-0.446,-0.015,0.447,0.2961,0.01098,-0.00242,0.00227,0.01046,145.53
768,0,67.162,96.873,64.841,96.139,-2.321,-0.734,2.434,0.3917,0.01371,-0.00312,0.00277,0.01306,208.82
768,1,415.712,96.891,415.146,97.057,-0.566,0.166,0.590,0.3917,0.01371,-0.00312,0.00277,0.01306,143.86
769,0,71.938,99.710,69.547,98.770,-2.391,-0.940,2.569,0.4528,0.01604,-0.00356,0.00324,0.01530,206.37
769,1,416.507,98.648,415.861,98.820,-0.646,0.171,0.668,0.4528,0.01604,-0.00356,0.00324,0.01530,142.41
770,0,82.682,107.767,80.131,106.555,-2.551,-1.212,2.824,0.5828,0.02226,-0.00459,0.00528,0.02113,200.18
770,1,416.929,105.864,416.330,106.013,-0.599,0.149,0.617,0.5828,0.02226,-0.00459,0.00528,0.02113,138.34
771,0,88.973,112.222,86.344,110.864,-2.629,-1.358,2.959,0.6330,0.02620,-0.00523,0.00693,0.02472,196.61
771,1,417.230,110.734,416.584,110.856,-0.646,0.122,0.657,0.6330,0.02620,-0.00523,0.00693,0.02472,135.85
772,0,103.182,122.054,100.422,120.699,-2.760,-1.354,3.075,0.8504,0.03567,-0.00663,0.01116,0.03323,188.48
772,1,417.693,122.879,417.106,122.894,-0.587,0.014,0.587,0.8504,0.03567,-0.00663,0.01116,0.03323,130.23
773,0,109.528,127.540,106.670,126.362,-2.858,-1.178,3.091,0.9313,0.04109,-0.00728,0.01353,0.03811,184.31
773,1,417.014,129.423,416.181,129.396,-0.833,-0.027,0.833,0.9313,0.04109,-0.00728,0.01353,0.03811,127.04
774,0,122.774,140.243,120.124,139.011,-2.650,-1.233,2.922,1.0453,0.05296,-0.00874,0.01829,0.04892,175.47
774,1,415.610,141.623,414.765,141.681,-0.845,0.057,0.846,1.0453,0.05296,-0.00874,0.01829,0.04892,120.87
775,0,134.802,150.709,132.305,149.782,-2.497,-0.927,2.663,1.4128,0.06255,-0.00980,0.02243,0.05756,168.82
775,1,416.243,152.471,415.535,152.551,-0.708,0.080,0.712,1.4128,0.06255,-0.00980,0.02243,0.05756,116.42
776,0,142.129,156.829,139.641,156.029,-2.488,-0.799,2.613,1.6251,0.06928,-0.01041,0.02525,0.06367,164.46
776,1,416.343,159.138,415.481,159.186,-0.862,0.048,0.863,1.6251,0.06928,-0.01041,0.02525,0.06367,113.49
777,0,153.750,165.685,151.334,165.335,-2.416,-0.350,2.441,1.6665,0.08360,-0.01161,0.03129,0.07665,156.28
777,1,414.365,168.575,413.264,168.985,-1.101,0.410,1.175,1.6665,0.08360,-0.01161,0.03129,0.07665,107.52
778,0,161.492,172.297,159.163,172.099,-2.329,-0.197,2.337,1.6921,0.09508,-0.01290,0.03619,0.08697,150.31
778,1,411.755,176.192,411.114,176.633,-0.641,0.441,0.778,1.6921,0.09508,-0.01290,0.03619,0.08697,103.25
779,0,171.169,179.247,168.887,179.193,-2.282,-0.054,2.282,1.9775,0.10690,-0.01429,0.04140,0.09752,144.39
779,1,411.727,184.381,411.088,184.949,-0.639,0.569,0.855,1.9775,0.10690,-0.01429,0.04140,0.09752,99.21
780,0,181.640,185.670,179.455,185.909,-2.185,0.239,2.198,2.2628,0.11888,-0.01550,0.04647,0.10832,138.83
780,1,413.265,191.325,412.344,192.005,-0.921,0.680,1.145,2.2628,0.11888,-0.01550,0.04647,0.10832,95.47
781,0,191.414,188.596,189.040,189.005,-2.373,0.409,2.408,2.4600,0.13099,-0.01648,0.05137,0.11937,133.56
781,1,414.447,194.690,413.293,195.608,-1.154,0.919,1.475,2.4600,0.13099,-0.01648,0.05137,0.11937,92.16
782,0,202.436,192.484,200.241,192.941,-2.194,0.457,2.242,2.5654,0.14782,-0.01817,0.05716,0.13510,126.81
782,1,414.576,198.456,413.519,199.330,-1.057,0.874,1.372,2.5654,0.14782,-0.01817,0.05716,0.13510,87.57
