frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
3710,1,323.056,173.622,323.494,173.365,0.438,-0.257,0.508,2.0241,0.02457
3711,1,323.197,173.422,323.481,173.154,0.284,-0.268,0.391,2.0129,0.02457
3712,1,323.421,173.504,323.889,173.202,0.468,-0.301,0.556,1.9748,0.02456
3713,1,323.491,173.637,324.069,173.610,0.578,-0.027,0.579,1.9712,0.02452
3714,1,323.299,173.630,323.637,173.443,0.338,-0.188,0.387,2.0129,0.02445
3715,1,323.434,173.559,323.737,173.288,0.304,-0.271,0.407,2.0039,0.02441
3716,1,323.681,173.553,324.267,173.378,0.586,-0.175,0.612,1.9656,0.02451
3717,1,323.885,173.613,324.273,173.479,0.388,-0.134,0.410,1.9815,0.02465
3718,1,323.833,173.531,324.369,173.210,0.536,-0.321,0.625,1.9552,0.02471
3719,1,323.623,173.174,323.767,173.159,0.144,-0.015,0.144,0.0560,0.00013
3720,1,323.633,173.094,323.926,173.333,0.293,0.239,0.378,0.0396,0.00021
3721,1,323.546,172.904,323.733,173.076,0.187,0.172,0.254,0.0560,0.00019
3722,1,324.359,173.343,324.169,173.285,-0.190,-0.058,0.199,0.0000,0.00013
3723,1,324.690,173.513,324.878,173.521,0.189,0.008,0.189,0.1047,0.00012
3724,1,324.666,173.380,324.781,173.387,0.115,0.007,0.116,0.0791,0.00028
3725,1,324.779,173.340,324.941,173.405,0.162,0.065,0.174,0.0791,0.00033
3726,1,325.362,172.833,325.309,172.974,-0.053,0.141,0.151,0.1427,0.00025
3727,1,325.503,172.730,325.531,173.052,0.028,0.322,0.323,0.1725,0.00016
3728,1,325.511,172.501,325.566,172.538,0.055,0.037,0.066,0.2307,0.00021
3729,1,326.051,171.707,326.249,171.805,0.198,0.098,0.221,0.3836,0.00096
3730,1,326.293,170.621,326.111,170.755,-0.181,0.134,0.226,0.5651,0.00225
3731,1,326.966,169.480,326.625,169.436,-0.341,-0.044,0.344,1.0922,0.00585
3732,1,328.050,168.732,327.475,168.844,-0.575,0.112,0.586,1.5627,0.00877
3733,1,331.664,167.574,331.562,168.023,-0.101,0.449,0.460,2.9911,0.01650
3734,1,332.831,165.743,332.479,165.922,-0.351,0.179,0.394,3.7484,0.02141
3735,1,337.459,164.710,336.821,165.282,-0.639,0.572,0.858,5.7936,0.03395
