frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
2969,1,205.457,197.753,205.166,197.862,-0.291,0.108,0.311,3.0890,0.02069
2970,1,205.527,196.619,205.328,196.572,-0.199,-0.047,0.204,2.9971,0.02013
2971,1,205.491,195.717,205.255,195.966,-0.236,0.249,0.343,2.9454,0.01991
2972,1,205.892,195.421,205.798,195.445,-0.094,0.024,0.097,2.8539,0.01962
2973,1,206.567,195.446,206.296,195.350,-0.271,-0.096,0.287,2.8640,0.01951
2974,1,205.123,194.390,204.867,194.313,-0.256,-0.078,0.268,2.9428,0.01972
2975,1,204.691,193.977,204.577,194.117,-0.114,0.140,0.180,2.9735,0.01979
2976,1,205.481,194.563,205.229,194.367,-0.252,-0.196,0.319,2.9835,0.01979
2977,1,205.624,194.317,205.459,194.174,-0.165,-0.143,0.218,2.9393,0.01967
2978,1,205.263,194.110,204.928,194.168,-0.335,0.058,0.340,2.9861,0.01964
2979,1,204.518,194.516,204.273,194.523,-0.245,0.006,0.245,3.0499,0.01964
2980,1,204.539,194.568,204.321,194.438,-0.218,-0.130,0.254,3.0329,0.01966
2981,1,204.400,194.429,204.110,194.313,-0.290,-0.115,0.312,3.0538,0.01983
2982,1,203.805,193.974,203.680,194.137,-0.124,0.163,0.205,3.1006,0.01998
2983,1,202.791,192.966,202.589,193.017,-0.202,0.052,0.208,3.1072,0.01997
2984,1,201.513,192.336,201.247,192.382,-0.266,0.047,0.270,3.1638,0.01985
2985,1,200.606,191.673,200.411,191.874,-0.195,0.201,0.280,3.2060,0.01962
2986,1,198.709,186.708,198.541,186.758,-0.168,0.050,0.175,3.2165,0.01845
2987,1,195.086,180.604,194.810,180.583,-0.276,-0.021,0.277,3.8302,0.01765
2988,1,190.552,177.668,190.445,177.730,-0.107,0.062,0.124,4.8339,0.01855
2989,1,190.371,176.681,190.157,177.060,-0.214,0.379,0.435,5.2176,0.02028
2990,1,193.890,179.223,194.020,179.265,0.129,0.042,0.136,5.7890,0.02676
2991,1,197.056,181.621,197.142,181.802,0.086,0.181,0.200,6.0830,0.03118
2992,1,204.454,181.945,204.409,182.222,-0.045,0.278,0.281,6.5502,0.04173
2993,1,206.706,182.286,207.050,182.328,0.344,0.042,0.346,6.9651,0.04793
2994,1,211.879,178.675,212.240,178.668,0.362,-0.006,0.362,7.8901,0.06183
2995,1,215.394,175.904,215.633,176.166,0.239,0.262,0.355,8.3057,0.06923
2996,1,222.811,172.107,223.347,172.252,0.536,0.146,0.556,9.1875,0.08519
2997,1,230.601,170.511,231.147,170.698,0.546,0.187,0.578,9.7166,0.09783
2998,1,240.035,171.094,240.586,171.184,0.552,0.090,0.559,10.0960,0.11081
2999,1,249.923,170.687,250.674,170.841,0.751,0.154,0.767,10.4339,0.12389
3000,1,258.476,168.736,259.108,168.827,0.631,0.091,0.638,10.9520,0.13670
3001,1,265.595,164.925,266.471,165.041,0.876,0.116,0.884,11.5654,0.14918
3002,1,271.887,161.519,272.860,161.330,0.973,-0.190,0.991,12.2722,0.16156
3003,1,278.702,156.666,279.786,156.940,1.084,0.274,1.118,12.8806,0.17348
3004,1,285.091,155.942,286.190,156.032,1.099,0.091,1.103,13.4463,0.18506
