frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
2042,1,320.553,270.638,321.003,270.436,0.450,-0.202,0.493,1.3400,0.01800
2043,1,318.311,268.515,318.178,268.588,-0.133,0.073,0.152,1.3637,0.01877
2044,1,318.322,267.255,318.256,267.222,-0.067,-0.033,0.075,1.3910,0.01904
2045,1,318.535,264.590,318.722,265.210,0.187,0.619,0.647,1.5380,0.01904
2046,1,318.518,260.590,318.718,260.215,0.201,-0.375,0.426,1.8963,0.01914
2047,1,317.605,258.665,317.752,259.633,0.147,0.968,0.979,1.9532,0.01944
2048,1,316.434,255.240,316.170,255.211,-0.264,-0.029,0.266,2.2879,0.02023
2049,1,315.359,254.229,315.291,254.218,-0.068,-0.012,0.069,2.2988,0.02194
2050,1,313.706,253.589,313.828,254.106,0.122,0.517,0.531,2.2482,0.02419
2051,1,313.612,249.702,313.632,249.240,0.020,-0.463,0.463,2.7347,0.02728
2052,1,312.542,249.576,312.543,249.307,0.001,-0.269,0.269,2.7186,0.03099
2053,1,311.320,250.488,311.129,250.947,-0.191,0.460,0.498,2.5347,0.03387
2054,1,308.477,249.377,308.854,248.682,0.377,-0.695,0.791,2.8481,0.04000
2055,1,301.549,250.371,301.475,251.023,-0.074,0.652,0.656,2.4750,0.04666
2056,1,294.801,246.462,294.879,246.389,0.078,-0.073,0.107,2.9751,0.05418
2057,1,287.195,241.648,287.438,241.654,0.243,0.006,0.243,3.3843,0.06183
2058,1,279.864,238.530,279.808,238.272,-0.055,-0.258,0.264,3.6919,0.06810
2059,1,273.919,235.696,273.879,236.231,-0.040,0.535,0.537,3.8825,0.07469
2060,1,269.597,229.378,268.933,229.887,-0.664,0.509,0.837,4.5787,0.08165
2061,1,267.352,223.611,266.913,223.476,-0.438,-0.135,0.459,5.3499,0.08965
2062,1,266.000,220.058,265.509,220.750,-0.491,0.693,0.849,5.7799,0.09862
2063,1,265.503,212.877,265.176,213.716,-0.327,0.839,0.901,6.8056,0.10850
2064,1,263.243,203.708,263.155,203.196,-0.088,-0.513,0.520,8.1712,0.11914
2065,1,255.639,199.268,255.490,199.655,-0.149,0.387,0.415,8.5854,0.13039
2066,1,245.361,192.529,244.120,192.740,-1.241,0.212,1.259,9.2042,0.14183
2067,1,235.730,188.853,234.866,188.537,-0.864,-0.317,0.920,9.6950,0.15322
2068,1,227.721,189.458,226.523,190.412,-1.198,0.954,1.532,9.5836,0.16400
2069,1,222.852,186.362,221.741,187.080,-1.110,0.717,1.322,10.1761,0.17427
2070,1,220.476,184.308,219.523,184.014,-0.954,-0.295,0.998,10.9398,0.18403
2071,1,216.924,187.126,216.421,187.180,-0.503,0.054,0.506,11.0443,0.19328
2072,1,214.632,189.685,213.494,190.024,-1.138,0.339,1.188,10.9539,0.19902
